failed,seed,loss,intent_acc,intent_micro_f1,intent_micro_precision,intent_micro_recall,intent_macro_f1,intent_threshold_used,slot_precision,slot_recall,slot_f1,mean_intent_slot,mean_f1,semantic_acc,mean_exit_layer,std_exit_layer,pct_full_pass,layer_savings_pct,balanced_score,train_wall_time_sec,peak_gpu_mem_MB,num_unfrozen_layers,num_layers,est_train_flops_per_sample,est_inference_flops_per_sample,unfreeze_position,error
False,42,0.013605949213578047,0.9986002799440112,0.9996328350380278,0.9993707393812271,0.9998950682056663,0.7774919946156991,0.39999999999999997,0.9692724990891057,0.9760691426474785,0.9726589477960592,0.9856296138700352,0.9861458914170436,0.8594281143771246,14.948410034179688,0.2212192863225937,0.9484103322029114,0.003439331054687522,0.718862012476561,9992.41953349486,7955.376953125,16.0,16.0,161061273600.0,161061273600.0,early,
False,43,0.013831901221810215,0.9992001599680064,0.9997376567500919,0.9997901143876587,0.999685204616999,0.7775734911778904,0.75,0.9694637939413575,0.9759060703656895,0.9726742650494706,0.9859372125087384,0.9862059608997813,0.8608278344331134,14.949210166931152,0.21959024667739868,0.9492101669311523,0.003385988871256518,0.719323602319784,9923.43302047113,7973.607421875,16.0,16.0,161061273600.0,161061273600.0,early,
False,44,0.01401018058265055,0.9982003599280144,0.9994226630976749,0.9997899821484826,0.9990556138509968,0.7773273709047956,0.95,0.9687942688306957,0.9758245342247951,0.9722966934763182,0.9852485267021662,0.9858596782869966,0.8582283543291341,14.949009895324707,0.21999891102313995,0.9490101933479309,0.0033993403116862053,0.7184205334939019,9980.271226800978,7962.2978515625,16.0,16.0,161061273600.0,161061273600.0,early,
False,42,0.01482677758858612,0.9994001199760048,0.9998425775305662,1.0,0.999685204616999,0.7776561751560085,0.95,0.9670063076176614,0.9750091728158506,0.9709912506851262,0.9851956853305655,0.9854169141078462,0.8524295140971806,14.948410034179688,0.2212192863225937,0.9484103322029114,0.003439331054687522,0.7175200001028709,9212.185516166966,7559.44140625,16.0,16.0,161061273600.0,161061273600.0,middle,
False,43,0.014793267077038763,0.9992001599680064,0.9997901143876587,0.999895046179681,0.999685204616999,0.7776169731338727,0.95,0.9667420997332903,0.9752945493089812,0.9709994926433283,0.9850998263056674,0.9853948035154936,0.851629674065187,14.948410034179688,0.2212192863225937,0.9484103322029114,0.003439331054687522,0.7172945164459845,7805.140597817954,7570.89501953125,16.0,16.0,161061273600.0,161061273600.0,middle,
False,44,0.015514321768520245,0.999000199960008,0.9997377117977233,0.9995804049092626,0.9998950682056663,0.777572108132544,0.5499999999999999,0.9664915117219078,0.9748053324636144,0.9706306196594208,0.9848154098097144,0.985184165728572,0.8512297540491902,14.948410034179688,0.2212192863225937,0.9484103322029114,0.003439331054687522,0.7171018849936552,7412.559954944998,7560.37939453125,16.0,16.0,161061273600.0,161061273600.0,middle,
False,42,0.017034004137105756,0.9984003199360127,0.9993705413344524,0.999160897839312,0.9995802728226653,0.7772917777579224,0.7999999999999999,0.9647343970914967,0.973623058420645,0.9691583475367259,0.9837793337363694,0.9842644444355891,0.8438312337532493,14.949009895324707,0.21999891102313995,0.9490101933479309,0.0033993403116862053,0.7152022889182725,5796.457231116947,6777.1953125,16.0,16.0,161061273600.0,161061273600.0,late,
False,43,0.01748875029368911,0.9976004799040192,0.9992657856093979,0.9988467183895995,0.999685204616999,0.7772103724549991,0.49999999999999994,0.9646897220426632,0.9734599861388561,0.9690550110590289,0.9833277454815241,0.9841603983342134,0.8432313537292542,14.949009895324707,0.21999891102313995,0.9490101933479309,0.0033993403116862053,0.7148163493785316,6602.079416717868,6778.78955078125,16.0,16.0,161061273600.0,161061273600.0,late,
False,44,0.0174646586322091,0.9984003199360127,0.9994229659549914,0.9992657085912094,0.9995802728226653,0.7773304876231069,0.7999999999999999,0.96346921495101,0.9741530433364589,0.968781674437462,0.9835909971867374,0.9841023201962267,0.8408318336332733,14.949210166931152,0.21959024667739868,0.9492101669311523,0.003385988871256518,0.7145585399743293,7256.256850733887,6781.19580078125,16.0,16.0,161061273600.0,161061273600.0,late,
False,42,0.013568177538000221,0.9996000799840032,0.9998950792151925,0.9997901804448175,1.0,0.777695601620684,0.15,0.9675736869769135,0.975620693872559,0.971580528602168,0.9855903042930856,0.9857378039086803,0.855628874225155,14.949009895324707,0.21999891102313995,0.9490101933479309,0.0033993403116862053,0.7182900848953236,8724.364432223607,9041.173828125,16.0,16.0,161061273600.0,161061273600.0,early+middle,
