failed,seed,loss,intent_acc,intent_micro_f1,intent_micro_precision,intent_micro_recall,intent_macro_f1,intent_threshold_used,slot_precision,slot_recall,slot_f1,mean_intent_slot,mean_f1,semantic_acc,mean_exit_layer,std_exit_layer,pct_full_pass,layer_savings_pct,balanced_score,train_wall_time_sec,peak_gpu_mem_MB,num_unfrozen_layers,num_layers,est_train_flops_per_sample,est_inference_flops_per_sample,experiment,intent_loss_fn,unfrozen_ratio,min_unfrozen_ratio_floor,ee_patience_decay,exit_logit_smoothing,use_freq_exit,require_joint_stability,min_exit_layer,ee_patience
False,42,0.004870181300411135,0.9960019990004998,0.9985416942860931,0.9981447124304267,0.9989389920424403,0.8987281952267743,0.6,0.996212555950878,0.9972426470588235,0.9967273353620025,0.9963646671812512,0.9976345148240477,0.9770114942528736,15.0,0.0,1.0,0.0,0.7436115272567366,4487.22080582194,12106.771484375,12,16,161061273600.0,161061273600.0,B0_full_depth,bce,0.7566455605042577,0.0,0.0,True,False,False,15.0,1000000.0
False,43,0.004252404006709626,0.9970014992503748,0.9986740917528507,0.9984093319194062,0.9989389920424403,0.8988459689415818,0.75,0.9963281698221457,0.9975873161764706,0.9969573454274067,0.9969794223388908,0.9978157185901286,0.9805097451274363,15.0,0.0,1.0,0.0,0.7446563284481319,4239.059910834767,12106.7705078125,12,16,161061273600.0,161061273600.0,B0_full_depth,bce,0.7566455605042577,0.0,0.0,True,False,False,15.0,1000000.0
False,44,0.0049183923471440745,0.9970014992503748,0.9986733881666224,0.9989384288747346,0.9984084880636604,0.8988365006927748,0.95,0.9955244434243745,0.9966681985294118,0.9960959926512802,0.9965487459508275,0.9973846904089514,0.9775112443778111,15.0,0.0,1.0,0.0,0.7439488712529125,4568.726081550121,12115.5888671875,12,16,161061273600.0,161061273600.0,B0_full_depth,bce,0.7566455605042577,0.0,0.0,True,False,False,15.0,1000000.0
False,42,0.004501089996756129,0.9895052473763118,0.9970891770309606,0.9947201689545935,0.9994694960212201,0.8976198964079369,0.49999999999999994,0.9963269054178145,0.9972426470588235,0.9967845659163986,0.9931449066463552,0.9969368714736796,0.9710144927536232,8.017991065979004,0.19918875396251678,0.0,0.46546726226806645,0.8566555061990546,4431.703208544757,12106.771484375,12,16,161061273600.0,90596966400.0,B1_confidence_exit,bce,0.7566455605042577,0.0,0.0,True,False,False,4.0,1.0
False,43,0.004146557929566171,0.9970014992503748,0.9986737400530504,0.9986737400530504,0.9986737400530504,0.8988359405794751,0.9,0.9957563940818901,0.9974724264705882,0.996613671583539,0.9968075854169569,0.9976437058182948,0.9800099950024987,8.0,0.0,0.0,0.4666666666666667,0.8611800418968526,3851.87325582793,12106.7705078125,12,16,161061273600.0,90596966400.0,B1_confidence_exit,bce,0.7566455605042577,0.0,0.0,True,False,False,4.0,1.0
False,44,0.004555767812637197,0.9965017491254373,0.9986740917528507,0.9984093319194062,0.9989389920424403,0.8988280898182985,0.44999999999999996,0.9955244434243745,0.9966681985294118,0.9960959926512802,0.9962988708883588,0.9973850422020655,0.9770114942528736,8.0,0.0,0.0,0.4666666666666667,0.8603657508053889,4464.486887096893,12115.5888671875,12,16,161061273600.0,90596966400.0,B1_confidence_exit,bce,0.7566455605042577,0.0,0.0,True,False,False,4.0,1.0
False,42,0.004747059323142683,0.9955022488755623,0.9981427434332715,0.9984076433121019,0.9978779840848806,0.8983831900160979,0.95,0.996212555950878,0.9972426470588235,0.9967273353620025,0.9961147921187824,0.997435039397637,0.9770114942528736,9.003997802734375,0.10947149246931076,0.0,0.39973347981770835,0.8433451033170796,4469.099103958812,12106.771484375,12,16,161061273600.0,100663296000.0,B2_deebert_style,bce,0.7566455605042577,0.0,0.0,True,False,False,4.0,2.0
False,43,0.003929255043241786,0.9965017491254373,0.9985409205464916,0.9986733881666224,0.9984084880636604,0.8987171757338693,0.85,0.9963277484507689,0.9974724264705882,0.9968997588701343,0.9967007539977858,0.997720339708313,0.9795102448775612,9.001998901367188,0.06321393698453903,0.0,0.39986673990885413,0.8442493436174352,4459.400840017945,12106.7724609375,12,16,161061273600.0,100663296000.0,B2_deebert_style,bce,0.7566455605042577,0.0,0.0,True,False,False,4.0,2.0
False,44,0.004493127344987834,0.9965017491254373,0.9986740917528507,0.9984093319194062,0.9989389920424403,0.8988280898182985,0.44999999999999996,0.9954102122776821,0.9966681985294118,0.9960388081979448,0.996270278661691,0.9973564499753977,0.9765117441279361,9.0,0.0,0.0,0.4,0.8435919860570679,4462.477426534984,12115.5888671875,12,16,161061273600.0,100663296000.0,B2_deebert_style,bce,0.7566455605042577,0.0,0.0,True,False,False,4.0,2.0
False,42,0.004747059323142683,0.9955022488755623,0.9981427434332715,0.9984076433121019,0.9978779840848806,0.8983831900160979,0.95,0.996212555950878,0.9972426470588235,0.9967273353620025,0.9961147921187824,0.997435039397637,0.9770114942528736,9.003997802734375,0.10947149246931076,0.0,0.39973347981770835,0.8433451033170796,4540.582674680278,12106.771484375,12,16,161061273600.0,100663296000.0,B3_pabee,bce,0.7566455605042577,0.0,0.07697990982879299,True,False,False,4.0,
