failed,seed,loss,intent_acc,intent_micro_f1,intent_micro_precision,intent_micro_recall,intent_macro_f1,intent_threshold_used,slot_precision,slot_recall,slot_f1,mean_intent_slot,mean_f1,semantic_acc,mean_exit_layer,std_exit_layer,pct_full_pass,layer_savings_pct,balanced_score,train_wall_time_sec,peak_gpu_mem_MB,num_unfrozen_layers,num_layers,est_train_flops_per_sample,est_inference_flops_per_sample,unfreeze_position,error
False,42,0.005933049793746619,0.993503248375812,0.9977462548057802,0.9973495891863239,0.9981432360742706,0.8980336410016291,0.5499999999999999,0.9973596601997474,0.9981617647058824,0.9977605512489233,0.9956318998123677,0.9977534030273517,0.9865067466266867,25.08245849609375,0.7146307826042175,0.03698150813579559,0.07102005570023151,0.7625456885199767,6403.555765297264,13556.75341796875,28.0,28.0,158544691200.0,147220070400.0,early,
False,43,0.005738106540235435,0.9920039980009995,0.9974831103457411,0.9962953162212226,0.9986737400530504,0.8978093639894121,0.44999999999999996,0.9962134251290877,0.9974724264705882,0.9968425282737241,0.9944232631373617,0.9971628193097326,0.9835082458770614,25.102949142456055,0.7303398251533508,0.044477760791778564,0.07026114287199803,0.7611588391211448,5187.911622627173,13556.8447265625,28.0,28.0,158544691200.0,147220070400.0,early,
False,44,0.0057370960240510195,0.9910044977511244,0.9970853206147324,0.9960296453149815,0.9981432360742706,0.8975015173882802,0.49999999999999994,0.9970145826156849,0.9975873161764706,0.9973008671682076,0.994152682459666,0.99719309389147,0.9825087456271864,25.081958770751953,0.7129371166229248,0.03598200902342796,0.071038564046224,0.7608610129351981,5896.34526475193,13557.0634765625,28.0,28.0,158544691200.0,147220070400.0,early,
False,42,0.005670654687861656,0.9945027486256871,0.998143728453991,0.9978791092258749,0.9984084880636604,0.8983624144862763,0.5499999999999999,0.9973581438088674,0.9975873161764706,0.9974727168294083,0.9959877327275477,0.9978082226416997,0.9860069965017492,25.08245849609375,0.7139307856559753,0.03648176044225693,0.07102005570023151,0.7627592934735388,5291.643838984892,12707.67529296875,28.0,28.0,158544691200.0,147220070400.0,middle,
False,43,0.005206654842574691,0.993503248375812,0.9977468522200132,0.9970860927152317,0.9984084880636604,0.8980482242274569,0.5499999999999999,0.9977022058823529,0.9977022058823529,0.9977022058823529,0.9956027271290825,0.9977245290511831,0.9850074962518741,25.083457946777344,0.7145146727561951,0.03648176044225693,0.07098303900824654,0.7622293657779757,5792.740530353971,12709.51953125,28.0,28.0,158544691200.0,147220070400.0,middle,
False,44,0.005570832038260217,0.9955022488755623,0.9982756333731264,0.9984080657999469,0.9981432360742706,0.8984949940725022,0.6,0.9971284171835516,0.9973575367647058,0.9972429638139002,0.9963726063447312,0.9977592985935133,0.9865067466266867,25.086456298828125,0.716952919960022,0.03798101097345352,0.07087198893229163,0.7631098458694572,5941.1609996641055,12709.7353515625,28.0,28.0,158544691200.0,147220070400.0,middle,
False,42,0.006520654893929206,0.9905047476261869,0.997078353253652,0.9984042553191489,0.9957559681697613,0.8974487502755037,0.85,0.9949483352468427,0.9956341911764706,0.9952911450557024,0.9928979463409446,0.9961847491546771,0.9750124937531235,25.09895133972168,0.7315763235092163,0.043478261679410934,0.0704092096399378,0.7588024127371344,4530.934710705653,11006.01904296875,28.0,28.0,158544691200.0,147220070400.0,late,
False,43,0.007348524972511664,0.992503748125937,0.9973467763332449,0.9976114649681529,0.9970822281167109,0.8976966298524716,0.6,0.9948323380799265,0.9952895220588235,0.9950608775557087,0.9937823128408229,0.9962038269444768,0.975512243878061,25.10045051574707,0.7364813685417175,0.04597701132297516,0.07035368460196034,0.7594929511000026,4504.847615655046,11007.8603515625,28.0,28.0,158544691200.0,147220070400.0,late,
False,44,0.007343961649010351,0.991504247876062,0.9972144846796658,0.9973467763332449,0.9970822281167109,0.8975664862359384,0.6,0.9934595524956971,0.9947150735294118,0.9940869165853378,0.9927955822306999,0.9956507006325017,0.9720139930034982,25.09745216369629,0.7280099391937256,0.04197901114821434,0.07046473467791525,0.7583829317911225,5223.6868503182195,11006.9853515625,28.0,28.0,158544691200.0,147220070400.0,late,
False,42,0.005443734880393015,0.9955022488755623,0.9984089101034208,0.9981442205726405,0.9986737400530504,0.8985928762916207,0.5499999999999999,0.9972445464982779,0.9979319852941176,0.9975881474675549,0.9965451981715585,0.9979985287854878,0.9885057471264368,25.088455200195312,0.7194940447807312,0.039480261504650116,0.0707979555483218,0.7635509451714084,6121.527847399935,15134.07763671875,28.0,28.0,158544691200.0,147220070400.0,early+middle,
