failed,seed,loss,intent_acc,intent_micro_f1,intent_micro_precision,intent_micro_recall,intent_macro_f1,intent_threshold_used,slot_precision,slot_recall,slot_f1,mean_intent_slot,mean_f1,semantic_acc,mean_exit_layer,std_exit_layer,pct_full_pass,layer_savings_pct,balanced_score,train_wall_time_sec,peak_gpu_mem_MB,num_unfrozen_layers,num_layers,est_train_flops_per_sample,est_inference_flops_per_sample,unfreeze_position
False,42,0.004491364995000951,0.9950024987506247,0.9982770046388336,0.997615894039735,0.9989389920424403,0.8984855044752867,0.44999999999999996,0.995868717007115,0.9970128676470589,0.9964404638879321,0.9957214813192784,0.9973587342633828,0.9765117441279361,14.54522705078125,0.4980747401714325,0.5452274084091187,0.030318196614583348,0.7507223311702662,4216.099429247901,9865.001953125,16,16,161061273600.0,161061273600.0,early
False,43,0.004827751711973794,0.9955022488755623,0.9985413075188967,0.9984089101034208,0.9986737400530504,0.8987308622042723,0.5499999999999999,0.9956407020764024,0.9971277573529411,0.9963836748751507,0.9959429618753565,0.9974624911970237,0.9765117441279361,14.544727325439453,0.49811989068984985,0.544727623462677,0.03035151163736982,0.7509065241968543,3685.3364967969246,9859.47314453125,16,16,161061273600.0,161061273600.0,early
False,44,0.005419323015614854,0.993503248375812,0.9977462548057802,0.9973495891863239,0.9981432360742706,0.8980581918712385,0.39999999999999997,0.9951807228915662,0.9964384191176471,0.9958091738905792,0.9946562111331956,0.9967777143481797,0.9720139930034982,14.551724433898926,0.49744173884391785,0.5517241358757019,0.029885037740071563,0.7491194611355061,4246.82708754763,9858.599609375,16,16,161061273600.0,161061273600.0,early
False,42,0.0053324813131160435,0.991504247876062,0.9973509933774835,0.996031746031746,0.9986737400530504,0.8977394191176383,0.39999999999999997,0.9965568690462527,0.9975873161764706,0.9970718263765286,0.9942880371262952,0.997211409877006,0.9750124937531235,14.551724433898926,0.49744173884391785,0.5517241358757019,0.029885037740071563,0.7492278850177128,4071.467969076708,9373.46875,16,16,161061273600.0,161061273600.0,middle
False,43,0.0050779789722379875,0.9945027486256871,0.9980108738894046,0.9978785468045611,0.9981432360742706,0.8982936158724101,0.85,0.9955223880597015,0.9962086397058824,0.9958653956586655,0.9951840721421763,0.996938134774035,0.9735132433783108,14.54522705078125,0.4980747401714325,0.5452274084091187,0.030318196614583348,0.749867556110523,3634.422033627052,9374.31884765625,16,16,161061273600.0,161061273600.0,middle
False,44,0.005392611055925722,0.993503248375812,0.9978796713490591,0.9970868644067796,0.9986737400530504,0.898164125456199,0.39999999999999997,0.9950659781985083,0.9963235294117647,0.9956943567368965,0.9945988025563544,0.9967870140429778,0.9720139930034982,14.54522705078125,0.4980747401714325,0.5452274084091187,0.030318196614583348,0.7492300757778334,2776.8982830611058,9367.70703125,16,16,161061273600.0,161061273600.0,middle
False,42,0.006339123748709908,0.9920039980009995,0.9973488865323435,0.9968203497615262,0.9978779840848806,0.8977244525701347,0.75,0.9947199265381084,0.9956341911764706,0.995176848874598,0.9935904234377988,0.9962628677034708,0.9695152423788106,14.553223609924316,0.4972834885120392,0.5532233715057373,0.029785092671712254,0.7480162379698576,2879.3100892747752,8382.87890625,16,16,161061273600.0,161061273600.0,late
False,43,0.00674132257746347,0.9910044977511244,0.9970806794055201,0.9976101964949549,0.996551724137931,0.8974453769962885,0.9,0.9942640816794769,0.9957490808823529,0.9950060272085414,0.9930052624798329,0.9960433533070308,0.968015992003998,14.566216468811035,0.4957198202610016,0.5662168860435486,0.028918902079264286,0.7471451115727107,2481.0273524378426,8382.8779296875,16,16,161061273600.0,161061273600.0,late
False,44,0.006548987615673127,0.991504247876062,0.9972159618189049,0.9968195070235887,0.9976127320954907,0.897596194228319,0.6,0.9942627653471027,0.9955193014705882,0.9948906366611172,0.9931974422685896,0.9960532992400111,0.968015992003998,14.558220863342285,0.49672290682792664,0.5582208633422852,0.029451942443847634,0.747430783184583,2890.337757812813,8380.3994140625,16,16,161061273600.0,161061273600.0,late
False,42,0.0046459352294960805,0.9890054972513743,0.9969580743287925,0.9941967818517542,0.9997347480106101,0.8974988851538335,0.39999999999999997,0.9950642791551882,0.9959788602941176,0.9955213596692697,0.992263428460322,0.9962397169990311,0.968015992003998,14.54522705078125,0.4980747401714325,0.5452274084091187,0.030318196614583348,0.7469443259796156,2782.081715987064,10987.654296875,16,16,161061273600.0,161061273600.0,early+middle
