failed,seed,loss,intent_acc,intent_micro_f1,intent_micro_precision,intent_micro_recall,intent_macro_f1,intent_threshold_used,slot_precision,slot_recall,slot_f1,mean_intent_slot,mean_f1,semantic_acc,mean_exit_layer,std_exit_layer,pct_full_pass,layer_savings_pct,balanced_score,train_wall_time_sec,peak_gpu_mem_MB,num_unfrozen_layers,num_layers,est_train_flops_per_sample,est_inference_flops_per_sample,experiment,use_freq_exit,intent_loss_fn,ee_patience_decay,exit_logit_smoothing,require_joint_stability,unfrozen_ratio,min_unfrozen_ratio_floor
False,42,0.004216069342098681,0.9965017491254373,0.9985416942860931,0.9981447124304267,0.9989389920424403,0.8987257625954653,0.75,0.995754446356856,0.9970128676470589,0.996383259658993,0.9964425043922152,0.9974624769725431,0.9770114942528736,14.544727325439453,0.49811989068984985,0.544727623462677,0.03035151163736982,0.751306320740684,5061.225538674276,12106.771484375,12,16,161061273600.0,161061273600.0,E0_full_model,True,bce,0.07697990982879299,True,True,0.7566455605042577,0.0
False,43,0.004068020529860901,0.9965017491254373,0.9985416942860931,0.9981447124304267,0.9989389920424403,0.8987299609185969,0.49999999999999994,0.9959834748680284,0.9971277573529411,0.9965552876334826,0.9965285183794599,0.9975484909597878,0.9775112443778111,14.544727325439453,0.49811989068984985,0.544727623462677,0.03035151163736982,0.7514277742624828,4032.6298938277178,12106.7705078125,12,16,161061273600.0,161061273600.0,E0_full_model,True,bce,0.07697990982879299,True,True,0.7566455605042577,0.0
False,44,0.004911090331339923,0.9965017491254373,0.9986740917528507,0.9984093319194062,0.9989389920424403,0.8988381263508088,0.44999999999999996,0.9957534718237117,0.9967830882352942,0.9962680140093013,0.9963848815673693,0.997471052881076,0.9760119940029985,14.544727325439453,0.49811989068984985,0.544727623462677,0.03035151163736982,0.7511085646678424,4664.9326782622375,12115.5888671875,12,16,161061273600.0,161061273600.0,E0_full_model,True,bce,0.07697990982879299,True,True,0.7566455605042577,0.0
False,42,0.004611317119357061,0.9960019990004998,0.9984089101034208,0.9981442205726405,0.9986737400530504,0.8986224925683525,0.6,0.9959834748680284,0.9971277573529411,0.9965552876334826,0.9962786433169912,0.9974820988684516,0.9770114942528736,14.000499725341797,0.0223550908267498,0.0004997501382604241,0.06663335164388018,0.7602317611788076,4634.790070564952,12106.771484375,12,16,161061273600.0,150994944000.0,E1_no_freq_adaptive_exit,False,bce,0.07697990982879299,True,True,0.7566455605042577,0.0
False,43,0.003970543056424054,0.9930034982508745,0.9980140341586125,0.9962992334126355,0.9997347480106101,0.8983448001557651,0.7,0.9964425063116823,0.9975873161764706,0.9970145826156848,0.9950090404332796,0.9975143083871486,0.9765117441279361,14.005996704101562,0.07722705602645874,0.00599700165912509,0.0662668863932292,0.7591486969959441,4290.775044568814,12106.7705078125,12,16,161061273600.0,150994944000.0,E1_no_freq_adaptive_exit,False,bce,0.07697990982879299,True,True,0.7566455605042577,0.0
False,44,0.004694334737039579,0.9975012493753124,0.9988062077198567,0.998938710533298,0.9986737400530504,0.8989541438891677,0.95,0.995639201285288,0.9967830882352942,0.996210816396831,0.9968560328860716,0.9975085120583438,0.9780109945027486,14.000999450683594,0.031606968492269516,0.0009995002765208483,0.0666000366210937,0.7608797108830028,4599.084952845704,12115.5888671875,12,16,161061273600.0,150994944000.0,E1_no_freq_adaptive_exit,False,bce,0.07697990982879299,True,True,0.7566455605042577,0.0
False,42,0.004216069342098681,0.9965017491254373,0.9985416942860931,0.9981447124304267,0.9989389920424403,0.8987257625954653,0.75,0.995754446356856,0.9970128676470589,0.996383259658993,0.9964425043922152,0.9974624769725431,0.9770114942528736,14.544727325439453,0.49811989068984985,0.544727623462677,0.03035151163736982,0.751306320740684,4623.989210443106,12106.771484375,12,16,161061273600.0,161061273600.0,E2_bce_instead_of_asl,True,bce,0.07697990982879299,True,True,0.7566455605042577,0.0
False,43,0.004068020529860901,0.9965017491254373,0.9985416942860931,0.9981447124304267,0.9989389920424403,0.8987299609185969,0.49999999999999994,0.9959834748680284,0.9971277573529411,0.9965552876334826,0.9965285183794599,0.9975484909597878,0.9775112443778111,14.544727325439453,0.49811989068984985,0.544727623462677,0.03035151163736982,0.7514277742624828,4259.234318612143,12106.7705078125,12,16,161061273600.0,161061273600.0,E2_bce_instead_of_asl,True,bce,0.07697990982879299,True,True,0.7566455605042577,0.0
False,44,0.004911090331339923,0.9965017491254373,0.9986740917528507,0.9984093319194062,0.9989389920424403,0.8988381263508088,0.44999999999999996,0.9957534718237117,0.9967830882352942,0.9962680140093013,0.9963848815673693,0.997471052881076,0.9760119940029985,14.544727325439453,0.49811989068984985,0.544727623462677,0.03035151163736982,0.7511085646678424,4600.751552142203,12115.5888671875,12,16,161061273600.0,161061273600.0,E2_bce_instead_of_asl,True,bce,0.07697990982879299,True,True,0.7566455605042577,0.0
False,42,0.004216069342098681,0.9965017491254373,0.9985416942860931,0.9981447124304267,0.9989389920424403,0.8987257625954653,0.75,0.995754446356856,0.9970128676470589,0.996383259658993,0.9964425043922152,0.9974624769725431,0.9770114942528736,14.544727325439453,0.49811989068984985,0.544727623462677,0.03035151163736982,0.751306320740684,4574.034580481704,12106.771484375,12,16,161061273600.0,161061273600.0,E3_no_depth_adaptive_patience,True,bce,0.0,True,True,0.7566455605042577,0.0
